Corretora,Nº Nota,Data,Compra/Venda,Mercado,Ativo,Quantidade,Preço,Total,Taxa
Modal,51933,2016-11-18 0:00:00,C,Fracionario,B3SA,36,24.01,-864.36,0
Modal,51933,2016-11-18 0:00:00,C,Fracionario,B3SA,24,24.01,-576.24,0
Modal,51933,2016-11-18 0:00:00,C,Vista,ITSA4,400,8.79,-3516,0
Modal,52677,2016-11-22 0:00:00,C,Vista,BBAS3,100,28.83,-2883,0
Modal,52677,2016-11-22 0:00:00,C,Vista,HGTX3,100,17.52,-1752,0
Modal,52677,2016-11-22 0:00:00,C,Vista,PTBL3,100,2.37,-237,0
Modal,53027,2016-11-23 0:00:00,C,Fracionario,B3SA,40,23.17,-926.8,0
Modal,54560,2016-11-30 0:00:00,C,Vista,BVMF3,100,16.75,-1675,0
Modal,54560,2016-11-30 0:00:00,C,Vista,BVMF3,200,16.75,-3350,0
Modal,54560,2016-11-30 0:00:00,C,Vista,BVMF3,200,16.75,-3350,0
Modal,54560,2016-11-30 0:00:00,V,Vista,BBSE3,-100,28.27,2827,0
Modal,54560,2016-11-30 0:00:00,V,Vista,BBSE3,-200,28.27,5654,0
Rico,794467,2016-12-05 0:00:00,C,Vista,ITSA4,100,8.15,-815,4.9
Rico,794467,2016-12-05 0:00:00,C,Vista,ITSA4,100,8.15,-815,4.9
Rico,825450,2016-12-16 0:00:00,V,Fracionario,VIVT4,-34,43.36,1474.24,17.9
Rico,825450,2016-12-16 0:00:00,C,Vista,CCRO3,100,14.69,-1469,17.9
Rico,842416,2016-12-26 0:00:00,C,Fracionario,VIVT4,34,42.99,-1461.66,7.1
Rico,842416,2016-12-26 0:00:00,V,Vista,CCRO3,-100,15.35,1535,7.1
Modal,60398,2016-12-29 0:00:00,C,Vista,BBSE3,300,28.36,-8508,0
Modal,60398,2016-12-29 0:00:00,V,Vista,BVMF3,-200,16.5,3300,0
Modal,60398,2016-12-29 0:00:00,V,Vista,BVMF3,-200,16.5,3300,0
Modal,60398,2016-12-29 0:00:00,V,Vista,BVMF3,-100,16.5,1650,0
Rico,7118,2017-01-03 0:00:00,C,Opções,VALEO7,600,0.73,-438,8
Rico,7118,2017-01-03 0:00:00,V,Opções,VALEO7,-600,0.72,432,8
Rico,22111,2017-01-09 0:00:00,C,Vista,CMIG4,1000,7.62,-7620,7.35
Rico,22111,2017-01-09 0:00:00,V,Vista,CMIG4,-1000,7.58,7580,7.35
Rico,22111,2017-01-09 0:00:00,C,Vista,JBSS3,100,11.51,-1151,7.35
Rico,22111,2017-01-09 0:00:00,C,Vista,JBSS3,900,11.51,-10359,7.35
Rico,22111,2017-01-09 0:00:00,V,Vista,JBSS3,-1000,11.53,11530,7.35
Rico,22111,2017-01-09 0:00:00,C,Vista,MRFG3,100,6.07,-607,7.35
Rico,22111,2017-01-09 0:00:00,C,Vista,MRFG3,900,6.07,-5463,7.35
